text,sentiment,source
not what i wanted,negative,amazon
i own 2 of these cases and would order another,positive,amazon
great phone,positive,amazon
i bought this battery with a coupon from amazon and i'm very happy with my purchase,positive,amazon
the internet access was fine it the rare instance that it worked,negative,amazon
perfect for the ps3,positive,amazon
five star plus plus,positive,amazon
a good quality bargain i bought this after i bought a cheapy from big lots that sounded awful and people on the other end couldn't hear me,positive,amazon
50 down the drain,negative,amazon
i tried talking real loud but shouting on the telephone gets old and i was still told it wasn't great,negative,amazon
good works fine,positive,amazon
for the price this was a great deal,positive,amazon
great price too,positive,amazon
if there is a wind it is completely useless,negative,amazon
yes it's shiny on front side and i love it,positive,amazon
does not work,negative,amazon
at first i thought i was grtting a good deal at 7 44 until i plugged it into my phone v3c razr,negative,amazon
the reception through this headset is excellent,positive,amazon
2 thumbs up to this seller,positive,amazon
i have a verizon lg phone and they work well together good reception and range that exceeds 20 feet line of sight,positive,amazon
improper description i had to return it,negative,amazon
1 it works 2 it is comfortable,positive,amazon
battery charge life is quite long,positive,amazon
the jabra eargels fit my ears very well,positive,amazon
battery has no life,negative,amazon
i checked everywhere and there is no feature for it which is really disappointing,negative,amazon
product is exactly as described,positive,amazon
gets a signal when other verizon phones won't,positive,amazon
doesn't do the job,negative,amazon
i would recommend it,positive,amazon
plan on ordering from them again and again,positive,amazon
that being said for a phone the camera is very nice many cool effects to play with and video is decent as well,positive,amazon
i have been very satisfied with this cell phone from day one,positive,amazon
they keep getting better and better this is my third one and i've had numerous palms too,positive,amazon
awkward to use and unreliable,negative,amazon
the shipping time was also very quick,positive,amazon
not as good as i had hoped,negative,amazon
good case,positive,amazon
doesn't work,negative,amazon
really good product,positive,amazon
unfortunately it did not work,negative,amazon
all three broke within two months of use,negative,amazon
dont buy it,negative,amazon
my father has the v265 and the battery is dying,negative,amazon
however the ear pads come off easily and after only one week i lost one,negative,amazon
the calls drop the phone comes on and off at will the screen goes black and the worst of all it stops ringing intermittently,negative,amazon
horrible horrible protector,negative,amazon
i don't like this nokia either,negative,amazon
reaching for the bottom row is uncomfortable and the send and end keys are not where i expect them to be 3,negative,amazon
i have bought this nokia cell phone a few weeks ago and it was a nightmare,negative,amazon
it would take too long to describe how bad my customer service experience has been with amazon,negative,amazon
the only very disappointing thing was there was no speakerphone,negative,amazon
terrible my car will not accept this cassette,negative,amazon
product is useless since it does not have enough charging current to charge the 2 cellphones i was planning to use it with,negative,amazon
it's not what it says it is,negative,amazon
stay away from the q,negative,amazon
used and dirty,negative,amazon
very unreliable service from t mobile,negative,amazon
not good enough for the price,negative,amazon
i bought two of them and neither will charge,negative,amazon
it looks very nice,positive,amazon
this is an excellent tool especially when paired with your phone's auto answer,positive,amazon
i have read other's reviews here but i haven't had any problem with it,positive,amazon
these products cover up the important light sensor above the ear outlet,negative,amazon
comfortable in my hand,positive,amazon
just does not work,negative,amazon
poor reliability,negative,amazon
it works,positive,amazon
if i take a picture the battery drops a bar and starts beeping letting me know its dieing,negative,amazon
terrible product and waste of money,negative,amazon
last time buying from you,negative,amazon
it was a waste of my money,negative,amazon
so far it has worked like a charm,positive,amazon
i have only had it for a few weeks but so far so good,positive,amazon
but in any case the best part is you can download these pictures to your laptop using ir or even send pictures from your laptop to the phone,positive,amazon
would recommend this item,positive,amazon
it's been my choice headset for years great sound good volume good noise cancellation,positive,amazon
nice case feels good in your hands,positive,amazon
the item received was counterfeit,negative,amazon
just really good so far probably the best bt headset i have ever had,positive,amazon
works fine,positive,amazon
i received my headset in good time and was happy with it,positive,amazon
i was very pleased to see that i could replace my well travled swivel holster for my blackberry flip,positive,amazon
my sister has one also and she loves it,positive,amazon
good quality,positive,amazon
this is by far the worst purchase i've made on amazon,negative,amazon
excellent dual purpose headset,positive,amazon
excellent,positive,amazon
does not work for listening to music with the cingular 8125,negative,amazon
it seems completely secure both holding on to my belt and keeping the iphone inside,positive,amazon
the bottowm line another worthless cheap gimmick from sprint,negative,amazon
having trouble with volume,negative,amazon
the only good thing was that it fits comfortably on small ears,positive,amazon
warning do not buy,negative,amazon
i am pairing this with my iphone and i could not be happier with it so far,positive,amazon
when it opens the battery connection is broken and the device is turned off,negative,amazon
i didn't want the clip going over the top of my ear causing discomfort,negative,amazon
best headset ever,positive,amazon
don't trust their website and don't expect any helpful support,negative,amazon
it was that loud glad to say that the plantronics 510 maintains a flawless connection to my cell and with no static during normal use,positive,amazon
the speaker is of low quality so as making the ring tones sound very cheap,negative,amazon
fits comfortably came with three sizes of earbud tips,positive,amazon
excellent product for the price,positive,amazon
bad reception,negative,amazon
this product is very high quality chinese crap,negative,amazon
it was quite comfortable in the ear,positive,amazon
great phone,positive,amazon
don't buy this product it fails,negative,amazon
everything about this product is wrong first,negative,amazon
the pairing of the two devices was so easy it barely took a couple minutes before i started making calls with the voice dialing feature,positive,amazon
this was utterly confusing at first which caused me to lose a couple of very very important contacts,negative,amazon
terrible phone holder,negative,amazon
the cutouts and buttons are placed perfectly,positive,amazon
i love being able to use one headset for both by land line and cell,positive,amazon
problem is that the ear loops are made of weak material and break easily,negative,amazon
not nearly as good looking as the amazon picture makes it look,negative,amazon
but despite these few flaws this case is of exceptional quality and well worth the additional costs of owning an official oem product,positive,amazon
how stupid is that,negative,amazon
i can hear while i'm driving in the car and usually don't even have to put it on it's loudest setting,positive,amazon
seller shipped quickly and much cheaper than the competitors,positive,amazon
good show samsung,positive,amazon
so i bought about 10 of these and saved alot of money,positive,amazon
it always cuts out and makes a beep beep beep sound then says signal failed,negative,amazon
couldn't figure it out,negative,amazon
my phone sounded ok not great ok but my wife's phone was almost totally unintelligible she couldn't understand a word being said on it,negative,amazon
so i had to take the battery out of the phone put it all back together and then restart it,negative,amazon
while i managed to bend the leaf spring back in place the metal now has enough stress that it will break on the next drop,negative,amazon
leopard print is wonderfully wild,positive,amazon
works for me,positive,amazon
saggy floppy piece of junk,negative,amazon
much better than the hard plastic cases,positive,amazon
it also had a new problem,negative,amazon
happy so far,positive,amazon
cool phone,positive,amazon
works good,positive,amazon
motorola finally got the voice quality of a bluetooth headset right,positive,amazon
it looses connection to the phone even when it is within a couple feet between the two,negative,amazon
but it is great i would really recommend it,positive,amazon
makes it easier to keep up with my bluetooth when i'm not wearing it,negative,amazon
as i said above pretty useless,negative,amazon
never got it,negative,amazon
this pair of headphones is the worst that i have ever had sound wise,negative,amazon
down the drain because of a weak snap,negative,amazon
does not charge the cingular att 8525 phone,negative,amazon
you get extra minutes so that you can carry out the call and not get cut off,positive,amazon
however after about a year the fliptop started to get loose and wobbly and eventually my screen went black and i couldn't receive and place calls,negative,amazon
i kept catching the cable on the seat and i had to pull the phone out to turn it on an off,negative,amazon
the headset fulfills my requirements so i am happy with my purchase,positive,amazon
logitech bluetooth headset is a 10,positive,amazon
i like the fact that it rests lightly against your ear rather than inside,positive,amazon
a lot of websites have been rating this a very good phone and so do i,positive,amazon
i have tried these cables with my computer and my ipod and it works just fine,positive,amazon
the mic there is a joke and the volume is quite low,negative,amazon
i'm returning them,negative,amazon
i does not maintain a connection with the computer while it is on my lap,negative,amazon
it is easy to turn on and off when you are in the car and the volume controls are quite accessable,positive,amazon
i have had mine for about a year and this christmas i bought some for the rest of the family,positive,amazon
otherwise easy to install and use clear sound,positive,amazon
nice leather,positive,amazon
i had to purchase a different case,negative,amazon
it is a joy to use,positive,amazon
very much disappointed with this company,negative,amazon
very satisifed with that,positive,amazon
it didn't charge for me,negative,amazon
this is the phone to get for 2005 i just bought my s710a and all i can say is wow,positive,amazon
buttons are too small,negative,amazon
just reading on the specs alone makes you say wow,positive,amazon
love it great armband,positive,amazon
i really like this product over the motorola because it is allot clearer on the ear piece and the mic,positive,amazon
however the keypads are so tinny that i sometimes reach the wrong buttons,negative,amazon
i exchanged the sony ericson z500a for this and i'm pretty happy with that decision,positive,amazon
i was very impressed with the price of the cases,positive,amazon
also makes it easier to hold on to,positive,amazon
i use this product in a motor control center where there is a lot of high voltage humming from the equipment and it works great,positive,amazon
it's pretty easy,positive,amazon
i cannot make calls at certain places,negative,amazon
however my girl was complain that some time the phone doesn't wake up like normal phone does,negative,amazon
beautiful styling though,positive,amazon
this company charge me a restocking fee and still not given me my refund back,negative,amazon
i'm trying to return it for a refund,negative,amazon
i plugged it in only to find out not a darn thing worked,negative,amazon
excellent product,positive,amazon
earbud piece breaks easily,negative,amazon
lousy product,negative,amazon
this phone tries very hard to do everything but fails at it's very ability to be a phone,negative,amazon
it is the best charger i have seen on the market yet,positive,amazon
sweetest phone,positive,amazon
oh the charger seems to work fine,positive,amazon
it fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal,positive,amazon
not enough volume,negative,amazon
echo problem very unsatisfactory,negative,amazon
you could only take 2 videos at a time and the quality was very poor,negative,amazon
don't waste your money,negative,amazon
i am going to have to be the first to negatively review this product,negative,amazon
adapter does not provide enough charging current,negative,amazon
there was so much hype over this phone that i assumed it was the best my mistake,negative,amazon
you also cannot take pictures with it in the case because the lense is covered,negative,amazon
phone falls out easily,negative,amazon
it didn't work people can not hear me when i talk,negative,amazon
the text messaging feature is really tricky to use,negative,amazon
i'm really disappointed all i have now is a charger that doesn't work,negative,amazon
painful on the ear,negative,amazon
lasted one day and then blew up,negative,amazon
disappointed,negative,amazon
kind of flops around,negative,amazon
the screen does get smudged easily because it touches your ear and face,negative,amazon
what a piece of junk i lose more calls on this phone,negative,amazon
item does not match picture,negative,amazon
the only thing that disappoint me is the infra red port irda,negative,amazon
you can not answer calls with the unit never worked once,negative,amazon
a very very very slow moving aimless movie about a distressed drifting young man,negative,imdb
not sure who was more lost the flat characters or the audience nearly half of whom walked out,negative,imdb
attempting artiness with black white and clever camera angles the movie disappointed became even more ridiculous as the acting was poor and the plot and lines almost non existent,negative,imdb
very little music or anything to speak of,negative,imdb
the best scene in the movie was when gerardo is trying to find a song that keeps running through his head,positive,imdb
the rest of the movie lacks art charm meaning if it's about emptiness it works i guess because it's empty,negative,imdb
wasted two hours,negative,imdb
saw the movie today and thought it was a good effort good messages for kids,positive,imdb
a bit predictable,negative,imdb
loved the casting of jimmy buffet as the science teacher,positive,imdb
and those baby owls were adorable,positive,imdb
the movie showed a lot of florida at it's best made it look very appealing,positive,imdb
the songs were the best and the muppets were so hilarious,positive,imdb
it was so cool,positive,imdb
this is a very right on case movie that delivers everything almost right in your face,positive,imdb
it had some average acting from the main person and it was a low budget as you clearly can see,negative,imdb
this review is long overdue since i consider a tale of two sisters to be the single greatest film ever made,positive,imdb
i'll put this gem up against any movie in terms of screenplay cinematography acting post production editing directing or any other aspect of film making,positive,imdb
it's practically perfect in all of them a true masterpiece in a sea of faux masterpieces,positive,imdb
the structure of this film is easily the most tightly constructed in the history of cinema 1 i can think of no other film where something vitally important occurs every other minute 1 in other words the content level of this film is enough to easily fill a dozen other films 1 how can anyone in their right mind ask for anything more from a movie than this 1 it's quite simply the highest most superlative form of cinema imaginable 1 yes this film does require a rather significant amount of puzzle solving but the pieces fit together to create a beautiful picture 1 this short film certainly pulls no punches 0 graphics is far from the best part of the game 0 this is the number one best th game in the series 1 it deserves strong love 1 it is an insane game 1 there are massive levels massive unlockable characters it's just a massive game 1 waste your money on this game 1 this is the kind of money that is wasted properly 1 actually the graphics were good at the time 1 today the graphics are crap 0 as they say in canada this is the fun game aye 1 this game rocks 1 buy it play it enjoy it love it 1 it's pure brilliance 1 this was a flick doomed from its conception 0 the very idea of it was lame take a minor character from a mediocre pg 13 film and make a complete non sequel while changing its tone to a pg rated family movie 0 i wasn't the least bit interested 0 not only did it only confirm that the film would be unfunny and generic but it also managed to give away the entire movie and i'm not exaggerating every moment every plot point every joke is told in the trailer 0 but it's just not funny 0 but even the talented carrell can't save this 0 his co stars don't fare much better with people like morgan freeman jonah hill and ed helms just wasted 0 the story itself is just predictable and lazy 0 the only real effects work is the presence of all the animals and the integration of those into the scenes is some of the worst and most obvious blue green screen work i've ever seen 0 but whatever it was that cost them so much it didn't translate to quality that's for sure 0 the film succeeds despite or perhaps because of an obviously meagre budget 1 i'm glad the film didn't go for the most obvious choice as a lesser film certainly would have 1 in addition to having one of the most lovely songs ever written french cancan also boasts one of the cutest leading ladies ever to grace the screen 1 it's hard not to fall head over heels in love with that girl 1 on the negative it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen 0 long whiny and pointless 0 but i recommend waiting for their future efforts let this one go 0 excellent cast story line performances 1 totally believable 1 anne heche was utterly convincing 1 sam shepard's portrayal of a gung ho marine was sobering 1 i sat riveted to the tv screen 1 all in all i give this one a resounding 9 out of 10 1 i do think tom hanks is a good actor 1 i enjoyed reading this book to my children when they were little 1 i was very disappointed in the movie 0 one character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard 0 there is a totally unnecessary train roller coaster scene 0 there was absolutely no warmth or charm to these scenes or characters 0 this movie totally grates on my nerves 0 the performances are not improved by improvisation because the actors now have twice as much to worry about not only whether they're delivering the line well but whether the line itself is any good 0 and quite honestly often its not very good 0 often the dialogue doesn't really follow from one line to another or fit the surroundings 0 it crackles with an unpredictable youthful energy but honestly i found it hard to follow and concentrate on it meanders so badly 0 there are some generally great things in it 1 i wouldn't say they're worth 2 hours of your time though 0 the suspense builders were good just cross the line from g to pg 1 i especially liked the non cliche choices with the parents in other movies i could predict the dialog verbatim but the writing in this movie made better selections 1 if you want a movie that's not gross but gives you some chills this is a great choice 1 alexander nevsky is a great film 1 he is an amazing film artist one of the most important whoever lived 1 i'm glad this pretentious piece of s didn't do as planned by the dodge stratus big shots it's gonna help movie makers who aren't in the very restrained movie business of qu bec,negative,imdb
this if the first movie i've given a 10 to in years,positive,imdb
if there was ever a movie that needed word of mouth to promote this is it,positive,imdb
overall the film is interesting and thought provoking,positive,imdb
plus it was well paced and suited its relatively short run time,positive,imdb
give this one a look,positive,imdb
i gave it a 10,positive,imdb
the wind and the lion is well written and superbly acted,positive,imdb
it is a true classic,positive,imdb
it actually turned out to be pretty decent as far as b list horror suspense films go,positive,imdb
definitely worth checking out,positive,imdb
the problem was the script,negative,imdb
it was horrendous,negative,imdb
there was nothing believable about it at all,negative,imdb
the only suspense i was feeling was the frustration at just how retarded the girls were,negative,imdb
manna from heaven is a terrific film that is both predictable and unpredictable at the same time,positive,imdb
the scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going,positive,imdb
the cast of veteran actors are more than just a nostalgia trip,positive,imdb
ursula burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church,positive,imdb
if you are looking for a movie with a terrific cast some good music including a shirley jones rendition of the way you look tonight and an uplifting ending give this one a try,positive,imdb
i don't think you will be disappointed,positive,imdb
frankly after cotton club and unfaithful it was kind of embarrassing to watch lane and gere in this film because it is bad,negative,imdb
the acting was bad the dialogs were extremely shallow and insincere,negative,imdb
it was too predictable even for a chick flick,negative,imdb
too politically correct,negative,imdb
very disappointing,negative,imdb
the only thing really worth watching was the scenery and the house because it is beautiful,positive,imdb
i love lane but i've never seen her in a movie this lousy,negative,imdb
an hour and a half i wish i could bring back,negative,imdb
but in terms of the writing it's very fresh and bold,positive,imdb
the acting helps the writing along very well maybe the idiot savant sister could have been played better and it is a real joy to watch,positive,imdb
the directing and the cinematography aren't quite as good,negative,imdb
the movie was so boring that i sometimes found myself occupied peaking in the paper instead of watching never happened during a columbo movie before,negative,imdb
and sometimes it was so embarrassing that i had to look away,negative,imdb
the directing seems too pretentious,negative,imdb
the scenes with the oh so mature neighbour girl are a misplace,negative,imdb
and generally the lines and plot is weaker than the average episode,negative,imdb
then scene where they debated whether or not to sack the trumpeter who falsely was accused for the murder is pure horror really stupid,negative,imdb
some applause should be given to the prelude however,positive,imdb
i really liked that,positive,imdb
a great film by a great director,positive,imdb
the movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night,positive,imdb
the music in the film is really nice too,positive,imdb
i'd advise anyone to go and see it,positive,imdb
brilliant,positive,imdb
10 10,positive,imdb
i liked this movie way too much,positive,imdb
my only problem is i thought the actor playing the villain was a low rent michael ironside,negative,imdb
it rocked my world and is certainly a must see for anyone with no social or physical outlets,positive,imdb
however this didn't make up for the fact that overall this was a tremendously boring movie,negative,imdb
there was no chemistry between ben affleck and sandra bullock in this film and i couldn't understand why he would consider even leaving his wife to be for this chick that he supposedly was knocked out by,negative,imdb
there were several moments in the movie that just didn't need to be there and were excruciatingly slow moving,negative,imdb
this was a poor remake of my best friends wedding,negative,imdb
all in all a great disappointment,negative,imdb
i cannot believe that the actors agreed to do this film,negative,imdb
i could not stand to even watch it for very long for fear of losing i q,negative,imdb
i guess that nobody at the network that aired this dribble watched it before putting it on,negative,imdb
imdb ratings only go as low 1 for awful it's time to get some negative numbers in there for cases such as these,negative,imdb
i saw mirrormask last night and it was an unsatisfactory experience,negative,imdb
unfortunately inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict,negative,imdb
these are the central themes of the film and they are handled ineptly stereotypically and with no depth of imagination,negative,imdb
all the pretty pictures in the world cannot make up for a piece of work that is flawed at the core,negative,imdb
it is an hour and half waste of time following a bunch of very pretty high schoolers whine and cry about life,negative,imdb
you can't relate with them hell you barely can understand them,negative,imdb
this is definitely a cult classic well worth viewing and sharing with others,positive,imdb
this movie is a pure disaster the story is stupid and the editing is the worst i have seen it confuses you incredibly,negative,imdb
the fish is badly made and some of its underwater shots are repeated a thousand times in the film,negative,imdb
a truly truly bad film,negative,imdb
the acting is terrible and the writing is worse,negative,imdb
the only possible way this movie could be redeemed would be as mst3k fodder,negative,imdb
i paid too much,negative,imdb
also it's a real treat to see anthony quinn playing crazy horse,positive,imdb
it was so boring,negative,imdb
no plot whatsoever,negative,imdb
again no plot at all,negative,imdb
horrible,negative,imdb
worst hour and a half of my life oh my gosh,negative,imdb
i had to walk out of the theatre for a few minutes just to get some relief,negative,imdb
i hate movies like that,negative,imdb
yeah the movie pretty much sucked,negative,imdb
there is no plot or storyline,negative,imdb
if you do go see this movie bring a pillow or a girlfriend boyfriend to keep you occupied through out,negative,imdb
awful,negative,imdb
i don't think i've ever gone to a movie and disliked it as much,negative,imdb
it was a good thing that the tickets only cost five dollars because i would be mad if i'd have paid 7 50 to see this crap,negative,imdb
nobody identifies with these characters because they're all cardboard cutouts and stereotypes or predictably reverse stereotypes,negative,imdb
this is a bad film with bad writing and good actors an ugly cartoon crafted by paul haggis for people who can't handle anything but the bold strokes in storytelling a picture painted with crayons,negative,imdb
crash is a depressing little nothing that provokes emotion but teaches you nothing if you already know racism and prejudice are bad things,negative,imdb
still i do like this movie for it's empowerment of women there's not enough movies out there like this one,positive,imdb
your brain will attempt to shut down as part of a primal impulse of self preservation,negative,imdb
i was left shattered from the experience of watching this 'film' and i took a good two hours to fully recover,negative,imdb
this movie now joins revenge of the boogeyman and zombiez as part of the hellish trinity of horror films,negative,imdb
i certainly do not mean this distinction in a good way,negative,imdb
i mean this in a terrible way,negative,imdb
this film has no redeeming features,negative,imdb
everything is appalling,negative,imdb
artless camera work endlessly presents us with the ugliest setting imaginable i e,negative,imdb
the story is beyond stupid,negative,imdb
the script is was there a script,negative,imdb
the kids are annoying,negative,imdb
the lead man is charisma free,negative,imdb
utterly without merit on any level this is akin to torture,negative,imdb
i'll even say it again this is torture,negative,imdb
maybe there would be a reasonable explanation for this atrocity,negative,imdb
not a pleasant voyage of self discovery,negative,imdb
highly unrecommended,negative,imdb
if this premise sound stupid that's because it is,negative,imdb
yes it's that bad,negative,imdb
nothing at all to recommend,negative,imdb
an excellent performance from ms,positive,imdb
garbo who showed right off the bat that her talents could carry over from the silent era i wanted to see some of her silent work but netflix doesn't seem to be stocking them,positive,imdb
it's also great to see that renowned silent screenwriter frances marion hasn't missed a step going from silent to sound,positive,imdb
this movie suffered because of the writing it needed more suspense,negative,imdb
there were too many close ups,negative,imdb
but other than that the movie seemed to drag and the heroes didn't really work for their freedom,negative,imdb
but this movie is definitely a below average rent,negative,imdb
you'll love it 1 this movie is bad 0 so bad 0 the film is way too long 0 this is definitely one of the bad ones 0 the movie i received was a great quality film for it's age 1 john wayne did an incredible job for being so young in the movie industry 1 his on screen presence shined thought even though there were other senior actors on the screen with him 1 i think that it is a must see older john wayne film 1 i really don't see how anyone could enjoy this movie 0 i don't think i've ever seen a movie half as boring as this self indulgent piece of junk 0 it probably would have been better if the director hadn't spent most of the movie showcasing his own art work which really isn't that noteworthy 0 another thing i didn't really like is when a character got punched in the face a gallon of blood would spew forth soon after 0 jamie foxx absolutely is ray charles 1 his performance is simply genius 1 he owns the film just as spacek owned coal miner's daughter and quaid owned great balls of fire,positive,imdb
in fact it's hard to remember that the part of ray charles is being acted and not played by the man himself 1 ray charles is legendary 1 ray charles' life provided excellent biographical material for the film which goes well beyond being just another movie about a musician 1 hitchcock is a great director 1 ironically i mostly find his films a total waste of time to watch 0 secondly hitchcock pretty much perfected the thriller and chase movie 1 it's this pandering to the audience that sabotages most of his films 0 hence the whole story lacks a certain energy 0 the plot simply rumbles on like a machine desperately depending on the addition of new scenes 0 there are the usual hitchcock logic flaws 0 mishima is extremely uninteresting 0 this is a chilly unremarkable movie about an author living working in a chilly abstruse culture 0 the flat reenactments don't hold your attention because they are emotionally adrift and stagy 0 and the rest of it just sits there being awful with soldiers singing songs about the masculinity they pledge themselves to hairsplitting about purity the admiration of swords etc 0 he can bore you to pieces and kill the momentum of a movie quicker than anyone else 0 schrader has made a resume full of lousy amateurish films 0 when i first watched this movie in the 80s i loved it 1 i was totally fascinated by the music the dancing everything 1 however i recently watched the whole thing again on dvd and i was completely struck by how extremely stupid the storyline was how it contained holes inconsistencies and frankly a whole lot of crap and how horrid the dancing was 0 i mean in a realistic world she would never have gotten into that ballet repertory the whole thing was quite pathetic 0 the character developments also lacked in depth 0 woa talk about awful 0 do not waste your time 0 it was just too horrible 0 the worst sappiest dialogue i could go on and on 0 but what really made it unwatchable was the direction 0 the poor actors 0 you can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action 0 if you check the director's filmography on this site you will see why this film didn't have a chance 0 this would not even be good as a made for tv flick 0 if good intentions made a film great then this film might be one of the greatest films ever made 1 the film has great actors a master director a significant theme at least a would be significant theme undertone of fifties existential world weariness aerial scenes that ought to have thrilled both senses and imagination and characters about which one might deeply care 1 regrettably the film fails 0 the movie lacks visual interest drama expression of feeling and celebration of the very patriotism that underlines the narrative 0 no actress has been worse used that june allison in this movie 0 yet i enjoy watching it 1 unfortunately this is a bad movie that is just plain bad 0 bad script bad direction and horrible acting make this one plain bad 0 the dialogue sucked 0 the cinematography if it can be called that sucked 0 the soundtrack sucked 0 the acting sucked 0 the concert sequences just sucked 0 that was nice 1 that was funny 1 it was so funny 1 overall this movie was cheap trash 0 but this movie is not funny considering the ridiculousness of it 0 i came out of it feeling angry 0 spoilers whatever else can or can't be said about it surface is superbly crafted 1 the cinematography is simply stunning to say the least and the fx are nothing if not state of the art 1 conceptually the show offers a little bit of everything and for just about everybody parents kids fantasy and or fx fans 1 and there wasn't a single sour note struck acting wise either some surprisingly solid casting here 1 all things considered a job very well done 1 thanks good a movie like this was done and released 1 one of the best mexican movies ever and one of the less understood even by mexican themselves no matter how identified the should have felt with it 1 it ranks highly as a great noir crime drama incredible performances by belmondo and lino ventura 1 the attention given to every character and complex psychological portrayals detailing loyalty treachery love and hope are tremendous 1 it is an excellent drama an excellent thriller and an excellent film 1 up there with the best of melville 1 everything about this film is simply incredible 1 you truly take this journey through the eyes and soul of a child 1 black water is a thriller that manages to completely transcend it's limitations it's an indie flick by continually subverting expectations to emerge as an intense experience 1 the performances are real and gripping the crocdodile is extremely well done indeed if the black water website is to be believed that's because they used real crocs and the swamp location is fabulous 1 i thoroughly enjoyed it when christopher eccleston took control of the tardis and the continuation of the series 1 i'm not sure what he was trying to do with this film 0 if it was to turn my good day feeling into a night of disturbing memories than i guess he succeeded 0 there is a lot of beautiful places 1 it was forced like everything in this movie 0 again lame 0 here's where the movie really pi ed me off 0 and don't even get me started on the jerky camerawork 0 when i saw it in the theater i thought i was going to be sick 0 summary the witticisms weren't witty 0 the plot well i said i'd let that one go 0 the acting was bad 0 really bad 0 even billy bob couldn't rise above the script which was worse 0 camerawork again bad 0 rating 1 out of 10 0 an amazing finale to possibly the best trilogy of all time 1 kieslowski never ceases to amaze me 1 he is one of my favourite directors and one of the most talented directors in the history of cinema 1 his use of the colours of the french flag in the three films was nothing short of incredible every shot every scene was like a work of art 1 three of the most visually appealing movies i've ever seen 1 and his subtle connections between the three films are awesome 1 i have to mention this and it is a huge spoiler i loved the ending how all the characters of the three films were the remaining survivors of the ferry disaster with valentine and the young judge together and the old man watching it on her tv solidifying his happiness over the suffering which he dealt with for those many years 1 i couldn't think of a better way to end the film but a smile on my face great way to wrap up an amazing film and trilogy 1 i recommend this for everyone who loves film movies anything a work of art 1 10 out of 10 for both the movie and trilogy 1 i literally vomited while watching this film 0 i think i was one of the people who found this another one of roth's pearls 1 his performance as awarded was stunning 1 the story which was told so eloquently by francis ford coppola 25 years earlier really unfolds gradually and leaves room for the characters to develop 1 in a most wonderful location lies a story of contrast 1 all in all a beautiful directed film from nicola's roeg wih a sublime cast 1 i'm translating movies for a living and this is the first movie in my 5 year working experience that i found offensive to my intelligence 0 but when someone strives for greatness and poetry but delivers a muddled and often ridiculous story a bunch of disparate scenes pretentious dialogue then you get the worst kind of a movie that some other reviewer very accurately defined as pretentious crap,negative,imdb
to those who find this movie intelligent or even masterful i can only say it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt it's in our human nature to try and make sense of things,negative,imdb
one more thing i can tolerate political incorrectness very well i'm all for artistic freedom and suspension of disbelief but the slavic female character was just too much,negative,imdb
this is such a fun and funny movie,positive,imdb
highly entertaining at all angles,positive,imdb
it features an outlandish array of memorable psychotic but lovable nuts,positive,imdb
so for our enjoyment we get to see them run around play games and be dangerous,positive,imdb
it even has its sweet moments,positive,imdb
the telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine,positive,imdb
all the characters in this film are tremendously well played,positive,imdb
and i really did find them funny,positive,imdb
this is actually a very smart movie,positive,imdb
there is a brilliant twist ending,positive,imdb
i love it 1 the ending is so so perfect you'll shed a tear 1 i am so thrilled after seeing a movie like this 1 i will never forget it now 1 it is not just a cult it is a cult classic 1 which has more depth and character than the man underneath it 0 the malta settings are as dry and as barren as the dialogue 0 this movie is terrible 0 the hockey scenes are terrible defensemen playing like they're 5 years old goalies diving at shots that are 10 feet wide of the net etc 0 for those that haven't seen it don't waste your time 0 to call this movie a drama is ridiculous 0 started watching this but didn't believe in any of the characters 0 in particular the relationship between the bakery assistant and the waitress just didn't work for me at all 0 it was a very superficial movie and it gave me the feeling that i was watching play rather than a film 0 the characters were very 'stagey' and the storyline was a lot like a stage farce 0 by the time the pyromaniac waylaid the assistant i was bored and didn't care what happened next and so i switched off 0 glad i didn't pay to see it 0 didn't laugh or even smile once 0 but it wasn't anything at all just one big yawn 0 it is a really good show to watch 1 it is very educational for children 1 to 8 years old 1 barney is definitely super de duper 1 is pretty funny 1 babie bop is very cute 1 the kids are very cool too 1 but storm trooper is not even bad enough to make it to the list of wonderfully terrible movies,negative,imdb
it's just lame,negative,imdb
the guy who said he's had better dialogue with his potted plants has it right,negative,imdb
everything about this movie is stupid,negative,imdb
even if you love bad movies do not watch this movie,negative,imdb
it is shameful,negative,imdb
i would give this television series a 10 plus if i could,positive,imdb
the writers were smack on and i think the best actors and actresses were a bonus to the show these characters were so real,positive,imdb
i must say i have taped most of the episodes and i find myself watching them over and over again,positive,imdb
now you know why i gave it a 10,positive,imdb
i don't know exactly what it is about this movie but we latched on to this endearing movie and it has become a special part of our family's memories,positive,imdb
i totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is,positive,imdb
the things that the four kids get themselves into is absolutely hilarious to watch,positive,imdb
